package_name,target_sdk,min_sdk,package_len,dangerous_permissions_count,has_hardcoded_secret,exported_components_count,debuggable,api_getDeviceId_count,api_sendSms_count,network_domains_count,domain_entropy,uses_http,label
com.example.app0,21,15,16,3,0,5,0,3,1,9,3.055,1,1
com.example.app1,26,16,16,0,0,5,0,2,0,9,2.695,0,0
com.example.app2,23,21,16,5,0,1,0,1,0,1,2.897,0,0
com.example.app3,28,15,16,8,0,3,1,1,1,5,3.443,0,1
com.example.app4,19,21,16,4,0,6,0,0,0,10,4.085,1,1
com.example.app5,29,16,16,1,0,1,0,1,0,4,4.474,0,0
com.example.app6,26,21,16,0,0,0,0,2,0,9,4.191,0,0
com.example.app7,31,18,16,2,0,1,0,2,1,6,4.245,0,0
com.example.app8,26,16,16,7,1,0,0,2,0,10,3.855,1,1
com.example.app9,30,19,16,8,0,4,0,0,1,10,4.212,0,1
com.example.app10,29,15,17,6,0,0,0,4,0,8,3.905,0,1
com.example.app11,21,21,17,8,0,1,0,0,1,8,4.296,0,1
com.example.app12,31,15,17,5,0,6,0,1,0,9,4.367,1,1
com.example.app13,31,15,17,2,0,3,0,0,1,9,3.058,0,0
com.example.app14,26,21,17,6,0,5,0,4,0,3,2.562,0,1
com.example.app15,26,19,17,0,1,5,1,2,0,5,2.977,0,1
com.example.app16,31,16,17,2,0,4,0,1,0,6,2.476,1,1
com.example.app17,30,17,17,6,0,5,1,3,1,0,3.007,0,1
com.example.app18,21,16,17,3,0,1,0,1,0,1,3.108,0,0
com.example.app19,21,15,17,0,0,6,0,0,0,3,4.162,0,0
com.example.app20,23,18,17,6,0,6,0,1,1,8,3.655,0,1
com.example.app21,26,17,17,0,0,4,1,1,0,7,3.257,0,1
com.example.app22,23,15,17,1,0,0,0,3,0,1,4.354,0,0
com.example.app23,19,19,17,6,0,4,0,4,0,5,2.597,0,1
com.example.app24,28,18,17,1,1,4,0,6,0,3,4.065,1,1
com.example.app25,29,15,17,5,0,3,0,3,1,10,3.322,0,1
com.example.app26,28,21,17,2,0,0,0,0,0,3,3.794,0,0
com.example.app27,28,19,17,4,0,6,1,3,1,0,2.009,0,1
com.example.app28,28,16,17,8,0,4,1,0,1,2,3.364,0,1
com.example.app29,23,18,17,0,0,6,0,0,0,10,2.624,1,1
com.example.app30,30,19,17,3,0,6,0,4,0,5,3.956,0,1
com.example.app31,26,17,17,1,0,0,0,1,1,7,2.874,0,0
com.example.app32,26,16,17,3,0,2,0,4,0,10,3.274,0,0
com.example.app33,29,15,17,4,0,2,1,2,0,5,3.091,0,1
com.example.app34,21,18,17,4,1,3,1,6,1,10,3.293,0,1
com.example.app35,29,19,17,1,0,2,0,3,0,4,3.386,0,0
com.example.app36,30,21,17,4,0,6,1,1,0,9,3.517,0,1
com.example.app37,31,18,17,8,0,6,0,3,0,10,3.582,0,1
com.example.app38,26,21,17,3,0,1,1,1,0,1,3.139,0,1
com.example.app39,26,21,17,7,0,1,0,0,1,1,3.946,0,0
com.example.app40,31,15,17,3,0,0,0,4,1,8,3.489,0,0
com.example.app41,31,19,17,6,0,4,0,0,1,7,2.648,0,1
com.example.app42,28,19,17,3,0,0,0,1,0,8,2.201,1,0
com.example.app43,30,21,17,3,1,3,0,4,0,6,3.774,0,1
com.example.app44,19,19,17,7,1,2,0,3,1,6,4.146,0,1
com.example.app45,26,18,17,4,0,0,0,3,1,2,4.101,0,0
com.example.app46,19,18,17,1,0,1,0,0,0,5,2.529,0,0
com.example.app47,30,17,17,4,0,3,1,2,1,5,2.561,1,1
com.example.app48,19,15,17,3,0,4,0,0,1,9,4.369,0,0
com.example.app49,28,17,17,1,0,1,0,0,0,4,3.439,0,0
com.example.app50,30,18,17,1,0,6,0,0,1,10,3.501,1,1
com.example.app51,19,17,17,6,0,0,0,1,1,7,2.264,0,0
com.example.app52,31,21,17,6,0,4,0,1,1,8,3.937,0,1
com.example.app53,28,17,17,1,0,3,0,2,1,6,2.841,0,0
com.example.app54,29,16,17,3,0,2,0,4,1,4,3.389,0,0
com.example.app55,26,15,17,6,0,6,0,2,1,7,3.982,1,1
com.example.app56,26,18,17,4,0,2,0,2,0,8,2.827,0,0
com.example.app57,28,17,17,3,0,1,0,3,1,2,2.479,0,0
com.example.app58,28,21,17,4,0,6,0,1,0,0,3.77,1,1
com.example.app59,19,15,17,4,0,1,0,3,0,0,3.435,0,0
com.example.app60,31,17,17,0,0,6,0,4,0,1,3.443,0,1
com.example.app61,23,16,17,1,0,0,0,2,1,9,2.564,0,0
com.example.app62,31,18,17,6,0,4,1,4,0,3,3.564,0,1
com.example.app63,21,16,17,2,0,1,1,2,1,4,2.082,0,1
com.example.app64,28,21,17,1,0,2,0,3,1,3,3.063,0,0
com.example.app65,23,17,17,1,1,6,0,5,1,4,3.898,0,1
com.example.app66,28,21,17,4,0,3,0,2,1,5,3.509,1,1
com.example.app67,26,21,17,4,0,6,0,2,1,4,2.454,0,1
com.example.app68,31,15,17,5,0,2,0,4,0,7,2.721,0,1
com.example.app69,19,18,17,5,0,0,0,2,1,0,3.644,0,0
com.example.app70,30,15,17,8,0,6,0,2,0,4,3.373,0,1
com.example.app71,31,21,17,1,1,5,0,3,0,8,2.834,0,1
com.example.app72,26,15,17,1,0,1,0,3,1,4,3.039,0,0
com.example.app73,31,16,17,8,0,1,0,2,1,1,2.691,0,1
com.example.app74,30,17,17,4,0,2,0,4,1,10,3.224,1,1
com.example.app75,31,17,17,8,0,3,0,1,0,3,3.429,0,1
com.example.app76,30,15,17,7,0,6,0,4,1,10,4.452,0,1
com.example.app77,19,16,17,5,0,6,0,0,1,0,3.806,0,1
com.example.app78,23,15,17,4,0,5,0,0,0,10,4.148,0,1
com.example.app79,29,21,17,8,1,0,0,5,0,3,4.667,0,1
com.example.app80,21,21,17,7,0,2,0,0,1,4,2.896,0,1
com.example.app81,26,19,17,2,0,0,0,1,1,7,4.282,1,0
com.example.app82,31,21,17,7,0,0,0,2,0,8,2.395,0,0
com.example.app83,29,19,17,6,0,3,0,0,0,7,2.267,0,1
com.example.app84,29,19,17,4,1,6,0,3,1,10,4.746,0,1
com.example.app85,31,17,17,5,0,1,0,3,1,10,3.702,1,1
com.example.app86,21,21,17,4,0,0,0,3,0,4,2.817,0,0
com.example.app87,26,16,17,5,0,2,0,1,1,7,4.418,0,0
com.example.app88,29,15,17,1,0,1,0,3,1,8,2.914,0,0
com.example.app89,19,17,17,1,0,5,0,1,0,10,4.351,1,1
com.example.app90,26,18,17,8,0,4,0,0,1,4,3.623,1,1
com.example.app91,19,15,17,7,1,1,0,2,0,10,5.173,0,1
com.example.app92,30,19,17,6,0,6,0,2,1,0,3.726,0,1
com.example.app93,31,16,17,1,0,2,0,4,0,6,2.69,0,0
com.example.app94,31,15,17,0,1,2,0,2,1,1,4.875,0,1
com.example.app95,26,16,17,2,0,4,1,4,0,2,3.351,0,1
com.example.app96,21,21,17,2,1,6,0,4,0,4,2.931,0,1
com.example.app97,21,21,17,7,0,2,0,0,1,9,2.108,0,1
com.example.app98,28,18,17,0,0,6,0,3,0,7,2.184,1,1
com.example.app99,23,15,17,4,0,4,0,1,1,8,2.737,0,1
com.example.app100,30,15,18,8,0,1,0,4,0,7,2.997,0,1
com.example.app101,29,18,18,4,0,1,0,2,0,1,2.233,1,1
com.example.app102,29,16,18,0,0,4,0,3,0,10,4.353,0,0
com.example.app103,19,17,18,5,1,4,0,5,0,1,3.675,0,1
